"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Шоколад Спартак горький/Любимая Аленка,Каммунарка горький 20гр",шт., 40 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Шоколад Каммунарка горький 50гр/Любимая Аленка 50 г,шт.,1 руб ,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Круассан,шт.,2 руб,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Пирожок с черникой,пирожок с сыром ""Рикотто""",шт.,1 руб 25 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Шоколад""Любимая Аленка"", 100гр Шоколад""Спартак"""" 90г",шт.,2 руб,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Маффин шоколадный,вишневый",шт.,2 руб 20 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Йогурт,шт.,65 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
сырок глазированный,шт.,70 коп,Сладкие блюда,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Сок""Рич""в ассортименте 1л",0.2,80 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Сок ""Рич""в ассортименте 0,2",0.2,85 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Напиток клюквенный,0.2,64 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Кола,фанта,спрайт,швепс",0.5,1 руб 50 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Кефир,0.2,60 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Боржоми,0.5,2 руб 50 коп,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Вода""Бонаква"" с/г,б/г",0.5,1 руб,Напитки,03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",03.04.2018,2018-04-03,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Овощной букет""(капуста цветная,помидоры,огурцы,горошек)",100,2 руб 02 коп,,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Салат из птицы с гренками,100,1 руб 51 коп,,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Капуста маринованная,100,80 коп,,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Вежа""",100,2 руб,,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Салат из овощей с морской капустой,100,73 коп,,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Суп-харчо,250,2 руб,Супы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Щи по-морочански,250/20,1 руб 38 коп,Супы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Крылышки барбекю,150,2 руб 50 коп,Вторые блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Картофельные оладьи, фаршированные грибами",225/20,2 руб 50 коп,Вторые блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Котлета ""Любимая""",115,2 руб 91 коп,Вторые блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Свинина с сыром,100,4 руб 50 коп,Вторые блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Филе хека с овощами,135,3 руб 48 коп,Вторые блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Рис ""Мозаика""",150,1 руб 76 коп,Гарниры,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Макароны отварные,150,1 руб,Гарниры,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Каша пшенная,200,86 коп,Гарниры,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Овощи тушеные,150,2 руб,Гарниры,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Горчица,25,45 коп,Соусы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Сметана,50,50 коп,Соусы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Соус соевый,25,34 коп,Соусы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Кетчуп/ майонез,25,25 коп,Соусы,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Шарлотка с яблоками,150,1 руб 28 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Вафли черноморские,шт.,60 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Зефир  в шоколаде,зефир",шт.,1 руб 10 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Батончик мюсли,шт.,60 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
"Шоколад Спартак горький/Любимая Аленка,Каммунарка горький 20гр",шт., 40 коп,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Шоколад Каммунарка горький 50гр/Любимая Аленка 50 г,шт.,1 руб ,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
Круассан,шт.,2 руб,Сладкие блюда,04.04.2018,2018-04-04,Меню с 02.04 по 06.04.2018г.xls
