Food,Weight,Price,Type,Key,Date,File,SHA1
"Рассольник ""Ленинградский""",250/20,1 руб 90 коп,Супы,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Бифштекс Смак,95,2 руб 20 коп,Вторые блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Котлета по-киевски,125,2 руб 79 коп,Вторые блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Говядина отварная,100,4 руб 45 коп,Вторые блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Гуляш из свинины,75/100,3 руб 15 коп,Вторые блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Рыба жаренная в сыре,100,3 руб 85 коп,Вторые блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Гречка отварная,200,88 коп,Гарниры,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Картофель, жаренный с грибами и луком",200,1 руб 88 коп,Гарниры,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Каша перловая,200,1 руб,Гарниры,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"фасоль, и мини морковь",150,2 руб 10 коп,Гарниры,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Яблоко в слойке,130,1 руб 53 коп,Сладкие блюда,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Компот из сухофруктов,0.2,69 коп,Напитки,24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",24.04.2018,2018-04-24,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из свеклы с черносливом,100,1 руб 06 коп,,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из свежих помидоров и огуцов,100,1 руб 14 коп,,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из птицы с ветчиной,100,1 руб 72 коп,,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат  Цветной,100,51 коп,,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат фасолевый с рыбными консервами,100,1 руб 80 коп,,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Суп -харчо,250,2 руб,Супы,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Щи по-морочански,250,1 руб 38 коп,Супы,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Котлета ""Папараць- Кветка""",105,2 руб 30 коп,Вторые блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Филе птицы в соусе,100/50,1 руб 95 коп,Вторые блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Говядина,запеченная с помидором и баклажанами",140,5 руб 09 коп,Вторые блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Эскалоп с  помидором,80/30,4 руб 15 коп,Вторые блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Рыба хек жаренная,100,4 руб 03 коп,Вторые блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Каша пшонная,200,86 коп,Гарниры,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Рис ""Светофор""",200,1 руб 02 коп,Гарниры,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Картофель жаренный из варенного,200,86 коп,Гарниры,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Овощи тушеные,150,2 руб ,Гарниры,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Запеканка из творога со сметаной,120/20,1 руб 99 коп,Сладкие блюда,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Напиток лимонный,0.2,65 коп,Напитки,25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка ,шт.,70 коп,"Хлеб, хлебобулочные изделия",25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",25.04.2018,2018-04-25,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из овощей с ветчиной,100,1 руб 69 коп,,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат из помидоров, капусты и сладкого перца",100,1 руб 11 коп,,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из птицы с рисом,100,1 руб 10 коп,,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат  мясной с фасолью,100,1 руб 23 коп,,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат ""Несвижский""",100,97 коп,,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Суп ""Полевой""",250,1 руб 12 коп,Супы,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Солянка сборная мясная,250,2 руб 58 коп,Супы,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Зразы рубленые,140,2 руб 24 коп,Вторые блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Фрикасе,200,5 руб 22 коп,Вторые блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Бендерики с курицей,180,2 руб 95 коп,Вторые блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Стейк из свинины,100,3 руб 60 коп,Вторые блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Рыба жаренная под маринадом,75/75,3 руб 63 коп,Вторые блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Гречка отварная ,200,88 коп,Гарниры,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Картофельные дольки жареные,150,2 руб 10 коп,Гарниры,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Спагетти,150,1 руб,Гарниры,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Овощи припущенные,150,1 руб 88 коп,Гарниры,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Сырники из творога со сметаной,150/20,2 руб 02 коп,Сладкие блюда,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Компот из апельсинов,0.2,1 руб 18 коп,Напитки,26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",26.04.2018,2018-04-26,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из свежих огурцов,100,1 руб 80 коп,Обеденное меню 27.04.2018г. Приятного аппетита!,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат ""Гавайский""",100,2 руб 47 коп,Обеденное меню 27.04.2018г. Приятного аппетита!,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из свеклы с чесноком и сыром,100,80 коп,Обеденное меню 27.04.2018г. Приятного аппетита!,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат Столичный,100,1 руб 38 коп,Обеденное меню 27.04.2018г. Приятного аппетита!,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат ""Папараць-кветка""",100,2 руб 22 коп,Обеденное меню 27.04.2018г. Приятного аппетита!,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Рассольник""Ленинградский""",250,1 руб 90 коп,Супы,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Суп из овощей,250,1 руб 54 коп,Супы,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Шницель ""Полесский""",125,1 руб 74 коп,Вторые блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Чахохбили (цыпл-бр),250,2 руб 64 коп,Вторые блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Антрекот,100,4 руб 99 коп,Вторые блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Свинина по-деревенски,100,3 руб 54 коп,Вторые блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Рыба хек жаренная в тесте,150,2 руб 95 коп,Вторые блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Рис"" Мозайка """,150,1 руб 76 коп,Гарниры,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Каша пшенная,200,86 коп,Гарниры,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Картофель отварной,200,80 коп,Гарниры,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Брокколи,150,2 руб 10 коп,Гарниры,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Пудинг из творога,150,1 руб 78 коп,Сладкие блюда,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Напиток лимонный,0.2,65 коп,Напитки,27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",27.04.2018,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат Греческий,150,2 руб 85 коп,Обеденное меню 28.04.2018г. Приятного аппетита!,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат ""Вежа""",100,2 руб ,Обеденное меню 28.04.2018г. Приятного аппетита!,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат из птицы с грибами,100,1 руб 57 коп,Обеденное меню 28.04.2018г. Приятного аппетита!,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Салат ""Слоеный""",100,1 руб 22 коп,Обеденное меню 28.04.2018г. Приятного аппетита!,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Салат с крабовыми полочками и кукурузой,100,1 руб 14 коп,Обеденное меню 28.04.2018г. Приятного аппетита!,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Суп картофельный с крупой ,250,1 руб 48 коп,Супы,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Суп перловый с грибами,250,1 руб 36 коп,Супы,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Бефстроганов из говядины,75/75,4 руб 80 коп,Вторые блюда,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Котлета Любимая,115,2 руб 91 коп,Вторые блюда,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Куриная грудка в беконе ,140,4 руб 24 коп,Вторые блюда,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Рыба запеченная с грибами,165,5 руб 59 коп,Вторые блюда,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Картофель отварной,200,80 коп,Гарниры,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Каша пшенная,200,86 коп,Гарниры,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Макароны отварные,150,1 руб ,Гарниры,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Овощной микс,150,1 руб 88 коп,Гарниры,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Сырники  с джемом,150/20,2 руб 31 коп,Сладкие блюда,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Напиток лимонный,0.2,65 коп,Напитки,28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",28.04.2018 ,,Меню с 23-28 апреля.xls,0c6d7d7383216a8717f250ad358d0adcb8899d4d
Винегрет с сельдью,100,1 руб 33 коп,,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Помидоры с сыром,100,1 руб 30 коп,,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Салат""Весенний""",100,1 руб 46 коп,,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат из птицы с грибами,100,1 руб 72 коп,,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат овощной с калбосой,100,1 руб 05 коп,,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Суп картофельный с мак и кур,250,1 руб 30 коп,Супы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Щи зеленые со сметаной,250/20,1 руб 48 коп,Супы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Суп из овощей,250,1 руб 66 коп,Супы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Оладьи картофельные с мясом,260/30,3 руб 62 коп,Вторые блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Перцы фаршированные,100,  руб     коп,Вторые блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Говядина отварная,100,4 руб 80 коп,Вторые блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Курица""Сытная""",140,3 руб 57 коп,Вторые блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Рыба в тесте,150,2 руб 82 коп,Вторые блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Гречка отварная,200,80 коп,Гарниры,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Рагу из овощей,200,2 руб 34 коп,Гарниры,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Макароны отварные,150,90 коп,Гарниры,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Фасоль и мини морковь,150,2 руб 10 коп,Гарниры,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Горчица,хрен",25,45 коп,Соусы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Соевый соус,15,30 коп,Соусы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Сметана,25,30 коп,Соусы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Кетчуп,25,25 коп,Соусы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Банан в слойке,140,2 руб 40 коп,Сладкие блюда,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Компот из сухофруктов,0.2,69 коп,напитки,24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",24.09.2018,2018-09-24,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат из птицы с гренками,100,1 руб 69 коп,,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Салат""Капрезо""",100,3 руб 10 коп,,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Салат""Щедрая осень""",100,85 коп,,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат-коктель с ветчиной и сыром,100,1 руб 96 коп,,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат из свеклы с сыром,100,1 руб,,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Суп""Польский""",250,1 руб 26 коп,Супы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Суп карт с клецками,250,1 руб 60 коп,Супы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Суп картофельный с крупой,250,1 руб 30 коп,Супы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Котлета Курочка ряба,125,2 руб 46 коп,Вторые блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Говядина в кисло-сладком соусе,75/100,4 руб 59 коп,Вторые блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Куриная грудка в беконе,140,4 руб 24 коп,Вторые блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Мясо по-французски,120,4 руб,Вторые блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Филе хека с овощами,135,3 руб 02 коп,Вторые блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Рис ""Мозаика""",150,1 руб 66 коп,Гарниры,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Картофельное пюре,200,1 руб 16 коп,Гарниры,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Каша перловая,200,90 коп,Гарниры,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Овощной микс,150,1 руб 90 коп,Гарниры,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Горчица,хрен",25,45 коп,Соусы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Соевый соус,15,30 коп,Соусы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Сметана,25,30 коп,Соусы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Кетчуп,25,25 коп,Соусы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Сырники из творога с джемом,150/20,2 руб 36 коп,Сладкие блюда,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Компот из сухофруктов,0.2,69 коп,Напитки,25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",25.09.2018,2018-09-25,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат из овощей с ветчиной,100,1 руб 75 коп,,26.09.2018,2018-09-26,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
"Салат из помидоров,огурцов и сладкого перца",100,1 руб 33 коп,,26.09.2018,2018-09-26,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Капуста маринованная,100,80 коп,,26.09.2018,2018-09-26,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Салат Английский,100,1 руб 81 коп,,26.09.2018,2018-09-26,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
Рулетики из баклажанов,100,2 руб 70 коп,,26.09.2018,2018-09-26,Меню с 24-28 сентября.xls,e34e35cced4c8c6a30b02bd1db501b9c26351911
