Food,Weight,Price,Type,Key,Date,File,SHA1
Котлета с сыром и морковью,115,2 руб 65 коп,Вторые блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Шницель из свинины,100,3 руб 71 коп,Вторые блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Гуляш из говядины,75/100,4 руб 26 коп,Вторые блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Рыба в белках,110,3 руб 38 коп,Вторые блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Рис отварной,200,76 коп,Гарниры,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Картофельное пюре,200,1 руб,Гарниры,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Гречка отварная,200,60 коп,Гарниры,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Фасоль и мини морковь,150,2 руб 10 коп,Гарниры,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Горчица,хрен",25,45 коп,Соусы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Соевый соус,15,30 коп,Соусы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Сметана,25,30 коп,Соусы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Кетчуп,25,25 коп,Соусы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Яблоко в слойке,130,1 руб 58 коп,Сладкие блюда,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Напиток лимонный,0.2,65 коп,Напитки,01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",01.11.2018,2018-11-01,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Салат из свеклы с сыром,100,1 руб,,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Салат-коктель""Павлинка""",100,1 руб 36 коп,,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Салат из помидоров и огурцов,100,90 коп,,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Салат""Полесский""",100,1 руб 98 коп,,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Суп""Польский""",250,1 руб 26 коп,Супы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Щи из свежей капусты с курицей,250/20,1 руб 44 коп,Супы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Суп пюре из овощей,250,2 руб 16 коп,Супы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Жаркое по-домашнему,50/250,3 руб 31 коп,Вторые блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Рулетики из птицы в горчично-сливочном соусе,120/25,2 руб 70 коп,Вторые блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Язык говяжий отварной,100,7 руб,Вторые блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Мясо по-французски,120,4 руб 01 коп,Вторые блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Котлета рыбная ""Нежность""",120,3 руб 03 коп,Вторые блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Каша пшенная,200,70 коп,Гарниры,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Рис""Светофор""",200,1 руб 12 коп,Гарниры,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Спагетти,150,90 коп,Гарниры,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Фасоль стручковая,150,1 руб 86 коп,Гарниры,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Горчица,хрен",25,45 коп,Соусы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Соевый соус,15,30 коп,Соусы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Сметана,25,30 коп,Соусы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Кетчуп,25,25 коп,Соусы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Запеканка из творога со сметаной,120/20,1 руб 99 коп,Сладкие блюда,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Компот из апельсинов,0.2,1 руб,Напитки,02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",02.11.2018,2018-11-02,Меню с 01-02ноября.xls,174a995a0b37b91dbc257e9e319de39ebe08c94a
Морковь пряная,100,75 коп,,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Салат Бело-зеленый,100,1 руб 10 коп,,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Салат из птицы с гренками,100,1 руб 69 коп,,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
"Салат""Неманский""",100,1 руб 20 коп,,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Рулетики Аппетитные,120,3 руб 35 коп,,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Борщ Могилевский,250/20,1 руб 94 коп,Супы,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Суп карт. с мясн. Фрикадельками,250/40,1 руб 36 коп,Супы,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Суп-пюре из овощей с креветками,250,   руб    коп,Супы,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Бефстроганов из говядины,75/75,4 руб 80 коп,Вторые блюда,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Куриный конверт с ананасом,130,3 руб 09 коп,Вторые блюда,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Зразы рубленые(свинина),140,2 руб 34 коп,Вторые блюда,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
Печень говяжья с луком,100/20,3 руб 45 коп,Вторые блюда,01.10.2018,2018-10-01,Меню с 01-05 октября.xls,16eff5a9d10fb3efacdf997c4a488252480a8bb0
